time,target,true_x,true_z,meas_x,meas_z,measurement_available,est_x,est_z
9.92,TARGET_1,-0.288559,-0.254125,-0.291141,-0.245531,True,-0.2889868637655782,-0.24890965388452707
9.984,TARGET_1,-0.286549,-0.252539,-0.273047,-0.260678,True,-0.281393252929754,-0.2526960738548503
10.048,TARGET_1,-0.28454,-0.250953,-0.286273,-0.232442,True,-0.2820757125412604,-0.24371142615701133
10.112,TARGET_1,-0.282531,-0.249366,-0.286744,-0.234042,True,-0.28274504388617894,-0.23874522892643904
10.176,TARGET_1,-0.280521,-0.24778,-0.276934,-0.238736,True,-0.2793412029723916,-0.23751331184391314
10.24,TARGET_1,-0.278512,-0.246194,-0.263419,-0.262173,True,-0.2718825277176277,-0.24607445738776915
10.304,TARGET_1,-0.276503,-0.244607,-0.278728,-0.231824,True,-0.2732483477468217,-0.23959037902381305
10.368,TARGET_1,-0.274493,-0.243021,-0.291234,-0.232312,True,-0.27914393815190275,-0.23569303988715884
10.432,TARGET_1,-0.272484,-0.241435,-0.28686,-0.235306,True,-0.2812447516630138,-0.23444740887360888
10.496,TARGET_1,-0.270475,-0.239849,-0.266309,-0.242813,True,-0.2745072206339339,-0.23668433026954533
10.56,TARGET_1,-0.268466,-0.238262,,,False,-0.2728359031087731,-0.23513394820831798
10.624,TARGET_1,-0.266456,-0.236676,-0.2557,-0.234229,True,-0.26365535156361863,-0.23389697343626226
10.688,TARGET_1,-0.264447,-0.23509,-0.268803,-0.245334,True,-0.2646786999875367,-0.23794008309555129
10.752,TARGET_1,-0.262438,-0.233503,-0.255363,-0.235411,True,-0.2597366327002407,-0.2361818437131412
10.816,TARGET_1,-0.260428,-0.231917,,,False,-0.25765358497236823,-0.23492750061196382
10.88,TARGET_1,-0.258419,-0.230331,-0.263124,-0.224596,True,-0.259268262268934,-0.22922952237749028
10.944,TARGET_1,-0.25641,-0.228745,-0.259321,-0.212901,True,-0.2582218023142553,-0.2213359313339583
11.008,TARGET_1,-0.2544,-0.227158,,,False,-0.2563878282557229,-0.21948550020303875
11.072,TARGET_1,-0.252391,-0.225572,-0.256219,-0.240412,True,-0.25538035500317363,-0.2289404765253001
11.136,TARGET_1,-0.250382,-0.223986,-0.266411,-0.218453,True,-0.2591494737039369,-0.22369519697004958
11.2,TARGET_1,-0.248373,-0.222399,-0.238639,-0.211073,True,-0.24985920176902496,-0.21765991952510066
11.264,TARGET_1,-0.246363,-0.220813,-0.253658,-0.206393,True,-0.25023678930510956,-0.21211778351104504
11.328,TARGET_1,-0.244354,-0.219227,-0.252149,-0.202413,True,-0.24992067698781956,-0.20710213366923447
11.392,TARGET_1,-0.242345,-0.21764,-0.223383,-0.216069,True,-0.23837145564974557,-0.2093941088262175
11.456,TARGET_1,-0.240335,-0.216054,-0.225661,-0.196899,True,-0.23197569772715443,-0.20333182185375284
11.52,TARGET_1,-0.238326,-0.214468,,,False,-0.22948631235290595,-0.20124898089496182
11.584,TARGET_1,-0.236317,-0.212882,-0.21692,-0.225527,True,-0.22210363657337026,-0.21196680266784018
11.648,TARGET_1,-0.234307,-0.211295,,,False,-0.2193435726226007,-0.21059204663345724
11.712,TARGET_1,-0.232298,-0.209709,-0.212959,-0.206414,True,-0.2147243435916912,-0.20777936329273666
11.776,TARGET_1,-0.230289,-0.208123,-0.24591,-0.202299,True,-0.22682159108020683,-0.20455692761182817
11.84,TARGET_1,-0.22828,-0.206536,-0.245569,-0.198401,True,-0.23335255380862865,-0.20110745168705257
11.904,TARGET_1,-0.22627,-0.20495,-0.224309,-0.199844,True,-0.2287760649751831,-0.1996103656458965
11.968,TARGET_1,-0.224261,-0.203364,-0.221774,-0.189635,True,-0.2249419765634391,-0.19464920512978556
12.032,TARGET_1,-0.222252,-0.201778,-0.240244,-0.217555,True,-0.22988928714112417,-0.2026269910804069
12.096,TARGET_1,-0.220242,-0.200191,-0.229296,-0.181172,True,-0.22876329029447143,-0.19335789214427745
12.16,TARGET_1,-0.218233,-0.198605,-0.223521,-0.18772,True,-0.22580906566597075,-0.1900815673360022
12.224,TARGET_1,-0.216224,-0.197019,,,False,-0.2242692578394543,-0.18826509596145324
12.288,TARGET_1,-0.214214,-0.195432,-0.218477,-0.214057,True,-0.22066459248051637,-0.1998543934392622
12.352,TARGET_1,-0.212205,-0.193846,-0.23048,-0.200462,True,-0.22394145705394652,-0.19950300967691692
12.416,TARGET_1,-0.210196,-0.19226,-0.196943,-0.172788,True,-0.2120821083335548,-0.1879645783619101
12.48,TARGET_1,-0.208187,-0.190674,-0.222294,-0.177192,True,-0.2149993453703519,-0.18267715530445314
12.544,TARGET_1,-0.206177,-0.189087,-0.186211,-0.208756,True,-0.20253339990493463,-0.19194942572097748
12.608,TARGET_1,-0.204168,-0.187501,-0.217669,-0.204372,True,-0.20714851665734801,-0.19614839838590195
12.672,TARGET_1,-0.202159,-0.185915,-0.19201,-0.166495,True,-0.20000314193644145,-0.183864852074861
12.736,TARGET_1,-0.200149,-0.184328,-0.214846,-0.166487,True,-0.20454772876616256,-0.17605792663890352
12.8,TARGET_1,-0.19814,-0.182742,-0.196468,-0.196341,True,-0.200249800490287,-0.18294177507120662
12.864,TARGET_1,-0.196131,-0.181156,-0.200582,-0.177493,True,-0.1991963789607367,-0.17994147600631583
12.928,TARGET_1,-0.194121,-0.17957,,,False,-0.19728668878358305,-0.17845425532231615
12.992,TARGET_1,-0.192112,-0.177983,-0.180611,-0.169405,True,-0.1882071331742025,-0.1732951684682249
13.056,TARGET_1,-0.190103,-0.176397,-0.204689,-0.18423,True,-0.19397805898837547,-0.17703254278266264
13.12,TARGET_1,-0.188094,-0.174811,-0.205115,-0.175897,True,-0.19743402939168708,-0.17574639140708842
13.184,TARGET_1,-0.186084,-0.173224,,,False,-0.1958690741123207,-0.17436178964148624
13.248,TARGET_1,-0.184075,-0.171638,,,False,-0.19430411883295434,-0.17297718787588406
13.312,TARGET_1,-0.182066,-0.170052,-0.163738,-0.187581,True,-0.17645429798454662,-0.18057047316557695
13.376,TARGET_1,-0.180056,-0.168466,,,False,-0.17401280696250074,-0.17966910774382683
