time,target,true_x,true_z,meas_x,meas_z
12.032,TARGET_2,0.454743,0.104685,0.468941,0.100654
12.096,TARGET_1,-0.220242,-0.200191,-0.229296,-0.181172
12.096,TARGET_2,0.455341,0.102196,0.469465,0.118026
12.160,TARGET_1,-0.218233,-0.198605,-0.223521,-0.187720
12.160,TARGET_2,0.455939,0.099707,0.465365,0.115753
12.224,TARGET_1,-0.216224,-0.197019,-0.197022,-0.205566
12.224,TARGET_2,0.456537,0.097218,0.453798,0.086214
12.288,TARGET_1,-0.214214,-0.195432,-0.218477,-0.214057
12.288,TARGET_2,0.457135,0.094728,0.468918,0.098616
12.352,TARGET_1,-0.212205,-0.193846,-0.230480,-0.200462
12.352,TARGET_2,0.457733,0.092239,0.457712,0.096455
12.416,TARGET_1,-0.210196,-0.192260,-0.196943,-0.172788
12.416,TARGET_2,0.458331,0.089750,0.443436,0.072255
12.480,TARGET_1,-0.208187,-0.190674,-0.222294,-0.177192
12.480,TARGET_2,0.458929,0.087261,0.462859,0.080812
12.544,TARGET_1,-0.206177,-0.189087,-0.186211,-0.208756
12.544,TARGET_2,0.459527,0.084772,0.463588,0.092207
12.608,TARGET_1,-0.204168,-0.187501,-0.217669,-0.204372
12.608,TARGET_2,0.460125,0.082282,0.447734,0.065830
12.672,TARGET_1,-0.202159,-0.185915,-0.192010,-0.166495
12.672,TARGET_2,0.460723,0.079793,0.448142,0.086686
12.736,TARGET_1,-0.200149,-0.184328,-0.214846,-0.166487
12.736,TARGET_2,0.461321,0.077304,0.463456,0.065189
12.800,TARGET_1,-0.198140,-0.182742,-0.196468,-0.196341
12.800,TARGET_2,0.461919,0.074815,0.458259,0.081748
12.864,TARGET_1,-0.196131,-0.181156,-0.200582,-0.177493
12.864,TARGET_2,0.462517,0.072326,0.474546,0.077354
12.928,TARGET_1,-0.194121,-0.179570,-0.191081,-0.175516
12.928,TARGET_2,0.463115,0.069836,0.480768,0.051439
12.992,TARGET_1,-0.192112,-0.177983,-0.180611,-0.169405
12.992,TARGET_2,0.463712,0.067347,0.444710,0.068243
13.056,TARGET_1,-0.190103,-0.176397,-0.204689,-0.184230
13.056,TARGET_2,0.464310,0.064858,0.456446,0.072956
13.120,TARGET_1,-0.188094,-0.174811,-0.205115,-0.175897
13.120,TARGET_2,0.464908,0.062369,0.467618,0.058870
13.184,TARGET_1,-0.186084,-0.173224,-0.166433,-0.156766
13.184,TARGET_2,0.465506,0.059880,0.473303,0.066799
13.248,TARGET_1,-0.184075,-0.171638,-0.189192,-0.190887
13.248,TARGET_2,0.466104,0.057391,0.462690,0.038012
13.312,TARGET_1,-0.182066,-0.170052,-0.163738,-0.187581
13.312,TARGET_2,0.466702,0.054901,0.484861,0.041933
13.376,TARGET_1,-0.180056,-0.168466,-0.168328,-0.162140
13.376,TARGET_2,0.467300,0.052412,0.475872,0.059861
13.440,TARGET_1,-0.178047,-0.166879,-0.175269,-0.172393
13.440,TARGET_2,0.467898,0.049923,0.473437,0.045940
13.504,TARGET_1,-0.176038,-0.165293,-0.188865,-0.159858
