time,target,true_x,true_z,meas_x,meas_z,ekf_x,ekf_z
8.448,TARGET_1,-0.334772,-0.29061,-0.354658,-0.280868,-0.3545213408735722,-0.28336831937145807
8.512,TARGET_1,-0.332763,-0.289024,-0.348863,-0.299566,-0.3501920135267358,-0.295769843694323
8.576,TARGET_1,-0.330754,-0.287437,-0.322445,-0.281548,-0.3277623816834653,-0.28438325329308556
8.64,TARGET_1,-0.328745,-0.285851,-0.34525,-0.305464,-0.3412723632342469,-0.30061876481925776
8.704,TARGET_1,-0.326735,-0.284265,-0.310867,-0.273401,-0.31646291296522905,-0.27919254472074484
8.768,TARGET_1,-0.324726,-0.282678,-0.330374,-0.264708,-0.32642885216074724,-0.2677166499548383
8.832,TARGET_1,-0.322717,-0.281092,-0.324082,-0.295683,-0.32428480920961117,-0.28908016799068104
8.896,TARGET_1,-0.320707,-0.279506,-0.335129,-0.273852,-0.3324300039653405,-0.27733772857279904
8.96,TARGET_1,-0.318698,-0.277919,-0.308579,-0.275632,-0.31312743739082943,-0.2756076767557707
9.024,TARGET_1,-0.316689,-0.276333,-0.299849,-0.296094,-0.302032790494728,-0.2910002608495326
9.088,TARGET_1,-0.314679,-0.274747,-0.29616,-0.279567,-0.29643055801053153,-0.2818497257320982
9.152,TARGET_1,-0.31267,-0.273161,-0.294795,-0.259886,-0.2939947477349488,-0.2644888799788516
9.216,TARGET_1,-0.310661,-0.271574,-0.301904,-0.25897,-0.2993165928718393,-0.2598582345886625
9.28,TARGET_1,-0.308652,-0.269988,-0.295606,-0.252524,-0.29556563631610544,-0.2537644717063075
9.344,TARGET_1,-0.306642,-0.268402,-0.297132,-0.251595,-0.2960501695617885,-0.2517153765385099
9.408,TARGET_1,-0.304633,-0.266815,-0.313777,-0.248739,-0.309540916216985,-0.249345203801413
9.472,TARGET_1,-0.302624,-0.265229,-0.297381,-0.277552,-0.3001556722446052,-0.27092148489414997
9.536,TARGET_1,-0.300614,-0.263643,-0.282127,-0.254295,-0.2854085682735287,-0.25769133241717856
9.6,TARGET_1,-0.298605,-0.262057,-0.28537,-0.2504,-0.2846204514966241,-0.25169250955948363
9.664,TARGET_1,-0.296596,-0.26047,-0.295269,-0.264574,-0.29269711089439976,-0.2615333075156601
9.728,TARGET_1,-0.294586,-0.258884,-0.288969,-0.263251,-0.28957966316057054,-0.2627127451739448
9.792,TARGET_1,-0.292577,-0.257298,-0.285073,-0.23818,-0.28536587155788007,-0.24352511969612847
9.856,TARGET_1,-0.290568,-0.255711,-0.294168,-0.24985,-0.2919515622630225,-0.2482841228149995
9.92,TARGET_1,-0.288559,-0.254125,-0.291141,-0.245531,-0.291048991345286,-0.24602203888692473
9.984,TARGET_1,-0.286549,-0.252539,-0.273047,-0.260678,-0.2767156230403092,-0.25695425074233136
10.048,TARGET_1,-0.28454,-0.250953,-0.286273,-0.232442,-0.28353368262180895,-0.23789617873615596
10.112,TARGET_1,-0.282531,-0.249366,-0.286744,-0.234042,-0.28561810657753783,-0.23472024830153618
10.176,TARGET_1,-0.280521,-0.24778,-0.276934,-0.238736,-0.27844201826479886,-0.23749421528940254
10.24,TARGET_1,-0.278512,-0.246194,-0.263419,-0.262173,-0.2664780280021487,-0.2561743074199011
10.304,TARGET_1,-0.276503,-0.244607,-0.278728,-0.231824,-0.2754828478433766,-0.2373074679985645
10.368,TARGET_1,-0.274493,-0.243021,-0.291234,-0.232312,-0.28763396063645774,-0.23351477952277344
10.432,TARGET_1,-0.272484,-0.241435,-0.28686,-0.235306,-0.28704033386299255,-0.2348854979042458
10.496,TARGET_1,-0.270475,-0.239849,-0.266309,-0.242813,-0.27067512174798447,-0.2406635395018025
10.56,TARGET_1,-0.268466,-0.238262,-0.281611,-0.232557,-0.27891391042491603,-0.23436959907118374
10.624,TARGET_1,-0.266456,-0.236676,-0.2557,-0.234229,-0.2602841388499862,-0.23374488762826642
10.688,TARGET_1,-0.264447,-0.23509,-0.268803,-0.245334,-0.2666688401189963,-0.2425534639911515
10.752,TARGET_1,-0.262438,-0.233503,-0.255363,-0.235411,-0.2573303409282579,-0.23669041801497773
10.816,TARGET_1,-0.260428,-0.231917,-0.275269,-0.227353,-0.27097646061003217,-0.22945349874779458
10.88,TARGET_1,-0.258419,-0.230331,-0.263124,-0.224596,-0.26447922080731073,-0.2254308497895365
10.944,TARGET_1,-0.25641,-0.228745,-0.259321,-0.212901,-0.25979806340711475,-0.21536564131212768
