time,target,true_x,true_z,meas_x,meas_z
7.744,TARGET_2,0.414681,0.271461,0.427030,0.256612
7.808,TARGET_1,-0.354865,-0.306473,-0.341838,-0.304220
7.808,TARGET_2,0.415279,0.268971,0.396201,0.280135
7.872,TARGET_1,-0.352856,-0.304886,-0.367047,-0.311477
7.872,TARGET_2,0.415877,0.266482,0.428955,0.281880
7.936,TARGET_1,-0.350847,-0.303300,-0.352574,-0.284583
7.936,TARGET_2,0.416474,0.263993,0.430925,0.247223
8.000,TARGET_1,-0.348838,-0.301714,-0.341399,-0.294032
8.000,TARGET_2,0.417072,0.261504,0.431889,0.251938
8.064,TARGET_1,-0.346828,-0.300128,-0.356133,-0.306117
8.064,TARGET_2,0.417670,0.259015,0.413087,0.245204
8.128,TARGET_1,-0.344819,-0.298541,-0.343051,-0.285816
8.128,TARGET_2,0.418268,0.256526,0.420889,0.253644
8.192,TARGET_1,-0.342810,-0.296955,-0.339181,-0.310546
8.192,TARGET_2,0.418866,0.254036,0.433021,0.247607
8.256,TARGET_1,-0.340800,-0.295369,-0.346184,-0.283502
8.256,TARGET_2,0.419464,0.251547,0.423636,0.250987
8.320,TARGET_1,-0.338791,-0.293782,-0.334784,-0.295391
8.320,TARGET_2,0.420062,0.249058,0.413450,0.255797
8.384,TARGET_1,-0.336782,-0.292196,-0.343492,-0.303233
8.384,TARGET_2,0.420660,0.246569,0.431215,0.242751
8.448,TARGET_1,-0.334772,-0.290610,-0.335377,-0.295065
8.448,TARGET_2,0.421258,0.244080,0.412765,0.229132
8.512,TARGET_1,-0.332763,-0.289024,-0.336643,-0.289213
8.512,TARGET_2,0.421856,0.241590,0.403892,0.245160
8.576,TARGET_1,-0.330754,-0.287437,-0.320736,-0.296962
8.576,TARGET_2,0.422454,0.239101,0.413304,0.240125
8.640,TARGET_1,-0.328745,-0.285851,-0.321760,-0.277300
8.640,TARGET_2,0.423052,0.236612,0.441903,0.219544
8.704,TARGET_1,-0.326735,-0.284265,-0.320942,-0.292554
8.704,TARGET_2,0.423650,0.234123,0.434643,0.214586
8.768,TARGET_1,-0.324726,-0.282678,-0.309879,-0.293605
8.768,TARGET_2,0.424248,0.231634,0.441226,0.224993
8.832,TARGET_1,-0.322717,-0.281092,-0.314353,-0.263485
8.832,TARGET_2,0.424846,0.229144,0.411864,0.216794
8.896,TARGET_1,-0.320707,-0.279506,-0.302422,-0.268075
8.896,TARGET_2,0.425444,0.226655,0.434373,0.236009
8.960,TARGET_1,-0.318698,-0.277919,-0.320575,-0.262661
8.960,TARGET_2,0.426042,0.224166,0.438848,0.239642
9.024,TARGET_1,-0.316689,-0.276333,-0.301667,-0.283102
9.024,TARGET_2,0.426640,0.221677,0.416161,0.225166
9.088,TARGET_1,-0.314679,-0.274747,-0.328424,-0.270350
9.088,TARGET_2,0.427238,0.219188,0.416547,0.219799
9.152,TARGET_1,-0.312670,-0.273161,-0.316215,-0.277101
9.152,TARGET_2,0.427836,0.216699,0.414501,0.230768
9.216,TARGET_1,-0.310661,-0.271574,-0.298900,-0.265269
9.216,TARGET_2,0.428433,0.214209,0.426273,0.197864
9.280,TARGET_1,-0.308652,-0.269988,-0.321455,-0.283113
9.280,TARGET_2,0.429031,0.211720,0.446176,0.209499
9.344,TARGET_1,-0.306642,-0.268402,-0.323155,-0.270681
9.344,TARGET_2,0.429629,0.209231,0.427975,0.223525
9.408,TARGET_1,-0.304633,-0.266815,-0.295042,-0.282400
9.408,TARGET_2,0.430227,0.206742,0.437617,0.194085
9.472,TARGET_1,-0.302624,-0.265229,-0.295460,-0.255492
9.472,TARGET_2,0.430825,0.204253,0.443519,0.205711
9.536,TARGET_1,-0.300614,-0.263643,-0.287360,-0.273032
9.536,TARGET_2,0.431423,0.201763,0.430697,0.195950
9.600,TARGET_1,-0.298605,-0.262057,-0.301178,-0.250337
9.600,TARGET_2,0.432021,0.199274,0.424972,0.187750
9.664,TARGET_1,-0.296596,-0.260470,-0.286988,-0.273486
9.664,TARGET_2,0.432619,0.196785,0.433501,0.212868
9.728,TARGET_1,-0.294586,-0.258884,-0.279723,-0.278681
9.728,TARGET_2,0.433217,0.194296,0.447885,0.207529
9.792,TARGET_1,-0.292577,-0.257298,-0.281174,-0.261236
9.792,TARGET_2,0.433815,0.191807,0.436111,0.181621
9.856,TARGET_1,-0.290568,-0.255711,-0.282545,-0.262910
9.856,TARGET_2,0.434413,0.189317,0.429567,0.182642
9.920,TARGET_1,-0.288559,-0.254125,-0.271302,-0.246352
9.920,TARGET_2,0.435011,0.186828,0.431388,0.195661
9.984,TARGET_1,-0.286549,-0.252539,-0.286079,-0.265421
9.984,TARGET_2,0.435609,0.184339,0.452376,0.180554
10.048,TARGET_1,-0.284540,-0.250953,-0.283360,-0.240089
10.048,TARGET_2,0.436207,0.181850,0.440752,0.187755
10.112,TARGET_1,-0.282531,-0.249366,-0.279730,-0.264725
10.112,TARGET_2,0.436805,0.179361,0.451990,0.193758
10.176,TARGET_1,-0.280521,-0.247780,-0.293409,-0.238479
10.176,TARGET_2,0.437403,0.176872,0.424965,0.157650
10.240,TARGET_1,-0.278512,-0.246194,-0.268835,-0.226529
10.240,TARGET_2,0.438001,0.174382,0.430698,0.179918
10.304,TARGET_1,-0.276503,-0.244607,-0.268051,-0.260934
10.304,TARGET_2,0.438599,0.171893,0.439910,0.184732
10.368,TARGET_1,-0.274493,-0.243021,-0.272631,-0.229844
10.368,TARGET_2,0.439197,0.169404,0.435674,0.167044
10.432,TARGET_1,-0.272484,-0.241435,-0.279903,-0.243831
10.432,TARGET_2,0.439795,0.166915,0.437374,0.185668
10.496,TARGET_1,-0.270475,-0.239849,-0.277225,-0.248062
10.496,TARGET_2,0.440392,0.164426,0.422261,0.183636
10.560,TARGET_1,-0.268466,-0.238262,-0.258054,-0.229105
10.560,TARGET_2,0.440990,0.161936,0.430828,0.177075
